date,value,cash,holdings_value
2024-11-19 00:00:00-05:00,1054445.1207184372,-327.69776679357665,1054772.818485231
2024-11-20 00:00:00-05:00,1061237.3934351595,-352.9659254029521,1061590.3593605624
2024-11-21 00:00:00-05:00,1059956.7469698568,-378.203591703813,1060334.9505615607
2024-11-22 00:00:00-05:00,1064882.9468499934,-403.5585512707073,1065286.5054012642
2024-11-25 00:00:00-05:00,1063896.8374719708,-428.89003148385456,1064325.7275034548
2024-11-26 00:00:00-05:00,1066485.938077188,-454.283158417286,1066940.2212356054
2024-11-27 00:00:00-05:00,1070944.912543138,-479.78245393725405,1071424.6949970752
2024-11-29 00:00:00-05:00,1078208.6366082057,-505.4546993861506,1078714.0913075919
2024-12-02 00:00:00-05:00,1078735.6216975031,-25.684793011846274,1078761.306490515
2024-12-03 00:00:00-05:00,1076580.3560497728,-51.3182689529347,1076631.6743187257
2024-12-04 00:00:00-05:00,1081118.3684710097,-77.05979538144514,1081195.4282663912
2024-12-05 00:00:00-05:00,1081664.6972262391,-102.81432994717859,1081767.5115561862
2024-12-06 00:00:00-05:00,1082711.391314186,-128.59378639409843,1082839.98510058
2024-12-09 00:00:00-05:00,1075078.92648503,-154.19151316104598,1075233.117998191
2024-12-10 00:00:00-05:00,1070555.999599744,-179.681548628551,1070735.6811483726
2024-12-11 00:00:00-05:00,1071853.908023215,-205.20248741336053,1072059.1105106282
2024-12-12 00:00:00-05:00,1065295.4896837974,-230.56726966255212,1065526.05695346
2024-12-13 00:00:00-05:00,1059557.420611794,-255.79542796660206,1059813.2160397607
2024-12-16 00:00:00-05:00,1058604.2466997367,-281.0008911133374,1058885.24759085
2024-12-17 00:00:00-05:00,1057120.5547115672,-306.1710274192391,1057426.7257389864
2024-12-18 00:00:00-05:00,1036576.4261208929,-330.8520061597066,1036907.2781270526
2024-12-19 00:00:00-05:00,1031917.4237380339,-355.42205363079006,1032272.8457916647
2024-12-20 00:00:00-05:00,1034159.3861190688,-380.0454824295488,1034539.4316014984
2024-12-23 00:00:00-05:00,1031046.5633661284,-404.59479463617583,1031451.1581607645
2024-12-24 00:00:00-05:00,1032833.9613831493,-429.18666495173454,1033263.148048101
2024-12-26 00:00:00-05:00,1033165.5495559678,-453.78643041176855,1033619.3359863795
2024-12-27 00:00:00-05:00,1028025.7913938055,-478.2638177637009,1028504.0552115692
2024-12-30 00:00:00-05:00,1023476.898805401,-502.63289557044396,1023979.5317009715
2024-12-31 00:00:00-05:00,1022340.9924975649,-526.974927344952,1022867.9674249098
2025-01-02 00:00:00-05:00,1021367.0282833745,-24.318841598246376,1021391.3471249727
2025-01-03 00:00:00-05:00,1018055.7528472842,-48.55884142793957,1018104.3116887121
2025-01-06 00:00:00-05:00,1016795.8205140851,-72.76884215448271,1016868.5893562397
2025-01-07 00:00:00-05:00,1017810.6933094206,-97.00300709434843,1017907.696316515
