config,window,risk_aversion,axioma_penalty,shrinkage_strength,n_resample,cagr,log_cagr,vol,sharpe,sortino,max_dd
mvo_r1.50_a0.100_s0.20_n0,full,1.5,0.1,0.2,0,0.11840779830309889,0.11213632618440235,0.1962634199939209,0.46658429603774976,0.5550712775671289,-0.38410758072715523
mvo_r1.50_a0.100_s0.20_n0,5y,1.5,0.1,0.2,0,0.14661205541547306,0.13737206577984892,0.16591468797309936,0.6703073915187633,0.9026191440630066,-0.13931768344860695
mvo_r1.50_a0.100_s0.20_n0,3y,1.5,0.1,0.2,0,0.18962070110689044,0.1746709022344776,0.14885771829787542,0.9796250946628755,1.312786291291915,-0.12544551967730944
mvo_r1.50_a0.100_s0.50_n0,full,1.5,0.1,0.5,0,0.11201922658714669,0.10639595947323455,0.18952898984776695,0.4459116516263467,0.5310727544862095,-0.37210895461614457
mvo_r1.50_a0.100_s0.50_n0,5y,1.5,0.1,0.5,0,0.13433083410791546,0.1265592952383367,0.16243296042550157,0.6145542949772766,0.8207210541601782,-0.13775158564315326
mvo_r1.50_a0.100_s0.50_n0,3y,1.5,0.1,0.5,0,0.1882129365553351,0.1734797614269145,0.14739082650456617,0.9797962431436167,1.3119974493990882,-0.12544551967730944
mvo_r1.50_a0.100_s0.80_n0,full,1.5,0.1,0.8,0,0.11029804508791652,0.10484377480888905,0.17671970177177532,0.45606214405837325,0.5361953515242929,-0.348091582145046
mvo_r1.50_a0.100_s0.80_n0,5y,1.5,0.1,0.8,0,0.09412409149978695,0.0903226644076284,0.15687857485250056,0.3998071746742536,0.5000810786401814,-0.20018395643873965
mvo_r1.50_a0.100_s0.80_n0,3y,1.5,0.1,0.8,0,0.16774996557014132,0.15600442053680663,0.1410200736463027,0.8935432236589046,1.1821187982385626,-0.12716421951169687
mvo_r2.00_a0.001_s0.20_n0,full,2.0,0.001,0.2,0,0.1321795472851106,0.12440002115749273,0.20879119972971627,0.5095344603969275,0.6140196845802938,-0.3860368243446254
mvo_r2.00_a0.001_s0.20_n0,5y,2.0,0.001,0.2,0,0.13361601362644193,0.12592634469921926,0.18531883737389993,0.5568029810147685,0.7379280726675885,-0.1980376376096118
mvo_r2.00_a0.001_s0.20_n0,3y,2.0,0.001,0.2,0,0.18264936513609453,0.16875845022609898,0.15736709081372974,0.8974252369272666,1.1718706921288453,-0.125445519677309
mvo_r2.00_a0.001_s0.50_n0,full,2.0,0.001,0.5,0,0.13182327058968135,0.12408464188302584,0.20864637651875348,0.5082268542644975,0.612787385988558,-0.3860368243446253
mvo_r2.00_a0.001_s0.50_n0,5y,2.0,0.001,0.5,0,0.13372568232975413,0.12602347872267608,0.1852725323266546,0.5574195009744226,0.7388846470526714,-0.19803763760961157
mvo_r2.00_a0.001_s0.50_n0,3y,2.0,0.001,0.5,0,0.18267130106693608,0.16877710888974778,0.15735267974463327,0.8976115555467981,1.1722525588633967,-0.12544551967730955
mvo_r2.00_a0.001_s0.80_n0,full,2.0,0.001,0.8,0,0.12928788765551547,0.12183742739918343,0.20767706931907362,0.4988124875062731,0.6000023571153751,-0.3860368243446257
mvo_r2.00_a0.001_s0.80_n0,5y,2.0,0.001,0.8,0,0.13328125556936632,0.1256297899752235,0.18494974746351314,0.5559388611978748,0.7366794738418434,-0.19803763760961202
mvo_r2.00_a0.001_s0.80_n0,3y,2.0,0.001,0.8,0,0.1828400629973479,0.16892064591468942,0.1573716940917104,0.8984349772077843,1.1730102814521008,-0.12544551967730921
mvo_r2.00_a0.010_s0.20_n0,full,2.0,0.01,0.2,0,0.12450998106730671,0.117588825536395,0.21005842700440475,0.4752891629851813,0.5747883131631637,-0.3860368243446253
mvo_r2.00_a0.010_s0.20_n0,5y,2.0,0.01,0.2,0,0.12696970126925167,0.1200220685103881,0.18785899109539939,0.5203601878131567,0.6923762265478189,-0.1980438159812712
mvo_r2.00_a0.010_s0.20_n0,3y,2.0,0.01,0.2,0,0.16986100115636238,0.1578213494265452,0.158956452728713,0.8211863544630689,1.0740082720280977,-0.12601319882700668
mvo_r2.00_a0.010_s0.50_n0,full,2.0,0.01,0.5,0,0.12406010691864067,0.11718785975779775,0.20919771941824783,0.47447355840846295,0.5722158987048834,-0.3860368243446255
