label,window,w_momentum,w_quality,w_volatility,sharpe,sortino,cagr,volatility,max_drawdown,hit_rate_monthly,turnover_avg
grid,full,0.4,0.3,0.3,0.3920537440309388,0.4911238972070304,0.0720347444600713,0.0855124406394388,-0.105115181849052,0.574468085106383,0.4531000492505344
grid,3yr,0.4,0.3,0.3,0.9146713215847939,1.1415076156338342,0.12473360146219536,0.09000548378066202,-0.09133059075005578,0.7297297297297297,0.4820083675450315
grid,full,0.4,0.4,0.2,0.53996873122826,0.6891600428229561,0.08817373469857936,0.09074222995864836,-0.09074185474956209,0.6595744680851063,0.45891431623570733
grid,3yr,0.4,0.4,0.2,1.0103143733187996,1.292270045951109,0.14043363393968455,0.09583048554456959,-0.09074185474956209,0.7567567567567568,0.48904100066549816
grid,full,0.4,0.5,0.1,0.6393058969284692,0.8420535978599147,0.10452093729497425,0.1017261448801769,-0.10540113311718247,0.6382978723404256,0.4472545821412611
grid,3yr,0.4,0.5,0.1,1.1464073699326391,1.5316722185031433,0.16927935754377188,0.10740917952783066,-0.09686831454262435,0.7297297297297297,0.48175289632452123
grid,full,0.4,0.6,0.0,0.09359848044664695,0.10178431717259735,0.03748320434706254,0.21198250205959537,-0.37430825173969995,0.5957446808510638,0.45569710493165916
grid,3yr,0.4,0.6,0.0,0.28280494116132754,0.2915362821166039,0.07927800191500944,0.2089489292272295,-0.37430825173970006,0.6756756756756757,0.4953419867423132
grid,full,0.5,0.0,0.5,0.5115518806489303,0.5702985691292055,0.07842303514110016,0.07565125354900541,-0.09820816652858,0.7021276595744681,0.4791751019768243
grid,3yr,0.5,0.0,0.5,0.7002412772588188,0.822252677137252,0.09946788578509191,0.08419230560091115,-0.09820816652857878,0.6756756756756757,0.5210692310933572
grid,full,0.5,0.1,0.4,0.36598185667843164,0.44885843768311995,0.06899653282790297,0.08330579342912249,-0.09462432963646072,0.6170212765957447,0.4579186136596411
grid,3yr,0.5,0.1,0.4,0.8420583751696329,1.027871710961532,0.11651387066341612,0.08888166246333998,-0.09462432963646017,0.7297297297297297,0.49127253900818424
grid,full,0.5,0.2,0.3,0.40685669728502893,0.5121159930325875,0.07406887373573201,0.08750654361937354,-0.10745252885182144,0.5957446808510638,0.4564166773310907
grid,3yr,0.5,0.2,0.3,0.9296276009330607,1.1681254526558302,0.12868442364402632,0.09260998321573452,-0.091117004991764,0.7297297297297297,0.4852656559650772
grid,full,0.5,0.3,0.2,0.6155565312845749,0.7931863068859776,0.0974250718564571,0.09388644028676504,-0.09191086556820527,0.6382978723404256,0.4627299727396068
grid,3yr,0.5,0.3,0.2,1.0826771779799782,1.4027103973108943,0.15264742602605508,0.09967458909096176,-0.09191086556820516,0.7297297297297297,0.4959905814095085
grid,full,0.5,0.4,0.1,0.6714917588081123,0.888154180754998,0.11073416120026991,0.10588530597506741,-0.10670702339925686,0.6382978723404256,0.4508847664842574
grid,3yr,0.5,0.4,0.1,1.1679476005519631,1.5687550836223632,0.17771528888270316,0.11205995900787381,-0.09866216724051868,0.7297297297297297,0.4851065758534405
grid,full,0.5,0.5,0.0,0.09388570732397425,0.10297233158825102,0.03660982722280948,0.21931511440278362,-0.3771351449036302,0.6170212765957447,0.457968671633636
grid,3yr,0.5,0.5,0.0,0.29731954462749,0.3098454135317889,0.08306254386126821,0.2148020814112997,-0.3771351449036303,0.6756756756756757,0.4954729155128297
grid,full,0.6,0.0,0.4,0.5891136452018568,0.6914027045807608,0.08824554349317815,0.0820033211470106,-0.09356640798481641,0.6808510638297872,0.4876527674470757
grid,3yr,0.6,0.0,0.4,0.808845675319215,0.9947029409681102,0.11468727159032066,0.09069557901955753,-0.09356640798481697,0.7027027027027027,0.5105298679407233
grid,full,0.6,0.1,0.3,0.43764328349082066,0.5540964591522043,0.07781770259554466,0.08981691336033647,-0.10418464349584522,0.5957446808510638,0.4649989116823066
grid,3yr,0.6,0.1,0.3,0.9362310042529518,1.1886877126967208,0.1319725687808493,0.09536002876449683,-0.09135888567997164,0.7297297297297297,0.4981243791407894
grid,full,0.6,0.2,0.2,0.6817218558167917,0.8794754547628315,0.10536878167852715,0.0956490835830818,-0.09260729726441086,0.6382978723404256,0.46993604176838344
grid,3yr,0.6,0.2,0.2,1.155228564440296,1.5017310662112282,0.16308254637931463,0.10141937202202572,-0.09260729726441097,0.7297297297297297,0.5038265333111718
grid,full,0.6,0.3,0.1,0.7381373948804993,0.9781973540665161,0.12011982599287463,0.10809972777298195,-0.10997111708700857,0.6382978723404256,0.46097399886030416
grid,3yr,0.6,0.3,0.1,1.2476240045075888,1.6839429935250636,0.19061298063685772,0.11385362741555749,-0.09984327623287459,0.7297297297297297,0.4913992147514257
grid,full,0.6,0.4,0.0,0.12450522884459923,0.13740784804507983,0.042275642520568146,0.23121391319279183,-0.3875453454026435,0.6382978723404256,0.46562339090095
grid,3yr,0.6,0.4,0.0,0.3285285820345303,0.34338597038003876,0.0912982433274192,0.22359570278650104,-0.3875453454026436,0.6756756756756757,0.4976518388465576
grid,full,0.7,0.0,0.3,0.5591173002642593,0.6886850615255292,0.0892028450202953,0.08906364527982727,-0.0911833159242803,0.6595744680851063,0.5143103691413782
